target,target_count,target_and_keyphrase_count,keyphrase_count,database_count,p_value,target_and_keyphrase_ratio
NLRP3,4458,124,54549,30028272,1.845782735469269e-99,0.02781516375056079
DYSF,180,5,54549,30028272,2.2613358534529287e-05,0.027777777777777776
CNTN6,36,1,54549,30028272,0.06336037995574478,0.027777777777777776
GMNN,36,1,54549,30028272,0.06336037995574478,0.027777777777777776
RBBP4,73,2,54549,30028272,0.007960961491676192,0.0273972602739726
IL2,3197,87,54549,30028272,1.5076020362548133e-69,0.027213012198936504
STAT1,6494,176,54549,30028272,1.6929166363356715e-138,0.027101940252540806
IL3,554,15,54549,30028272,2.7731232922611693e-13,0.02707581227436823
GJA4,37,1,54549,30028272,0.0650618741030709,0.02702702702702703
EFNA3,37,1,54549,30028272,0.0650618741030709,0.02702702702702703
KDM3A,74,2,54549,30028272,0.008172298863224355,0.02702702702702703
DUSP2,74,2,54549,30028272,0.008172298863224355,0.02702702702702703
ST8SIA4,37,1,54549,30028272,0.0650618741030709,0.02702702702702703
CD1D,2201,59,54549,30028272,2.258859690755228e-47,0.02680599727396638
IL13,785,21,54549,30028272,6.833065519570802e-18,0.0267515923566879
SRA1,75,2,54549,30028272,0.008386140990055871,0.02666666666666667
IMPDH2,113,3,54549,30028272,0.0012089609718702347,0.02654867256637168
TLR9,4158,110,54549,30028272,3.5862190997517234e-86,0.026455026455026454
SNX17,38,1,54549,30028272,0.06676027179850824,0.02631578947368421
STEAP3,38,1,54549,30028272,0.06676027179850824,0.02631578947368421
EPHA6,38,1,54549,30028272,0.06676027179850824,0.02631578947368421
TNIP1,116,3,54549,30028272,0.0013034535751527043,0.02586206896551724
PPAP2B,39,1,54549,30028272,0.06845558679694835,0.02564102564102564
SLAMF6,39,1,54549,30028272,0.06845558679694835,0.02564102564102564
ADIPOR1,819,21,54549,30028272,1.5873774379487362e-17,0.02564102564102564
NFKBIL1,39,1,54549,30028272,0.06845558679694835,0.02564102564102564
C1QB,118,3,54549,30028272,0.0013689545231467077,0.025423728813559324
CD109,119,3,54549,30028272,0.0014024656018558476,0.025210084033613446
EPHA8,40,1,54549,30028272,0.07014782219864255,0.025
PIK3R3,80,2,54549,30028272,0.009492599925530846,0.025
EDEM1,80,2,54549,30028272,0.009492599925530846,0.025
STARD4,40,1,54549,30028272,0.07014782219864255,0.025
P4HA2,40,1,54549,30028272,0.07014782219864255,0.025
ABCC10,80,2,54549,30028272,0.009492599925530846,0.025
FUT9,40,1,54549,30028272,0.07014782219864255,0.025
PSMB8,121,3,54549,30028272,0.0014710235383686803,0.024793388429752067
