target,target_count,target_and_keyphrase_count,keyphrase_count,database_count,p_value,target_and_keyphrase_ratio
HIST1H1C,15,1,226659,30028272,0.10743175332797646,0.06666666666666667
UBE2J1,15,1,226659,30028272,0.10743175332797646,0.06666666666666667
IL1RL1,121,8,226659,30028272,4.447049870096906e-06,0.06611570247933884
PIM1,471,31,226659,30028272,2.1020658403316738e-19,0.06581740976645435
PADI2,46,3,226659,30028272,0.005124329000111741,0.06521739130434782
ZFP36L2,46,3,226659,30028272,0.005124329000111741,0.06521739130434782
HMMR,92,6,226659,30028272,7.571547568075516e-05,0.06521739130434782
STX6,31,2,226659,30028272,0.022917557086790833,0.06451612903225806
LNX1,31,2,226659,30028272,0.022917557086790833,0.06451612903225806
HACE1,62,4,226659,30028272,0.0012777313860083289,0.06451612903225806
HLA-DQB1,1653,106,226659,30028272,3.857990128435304e-61,0.06412583182093164
IL23R,455,29,226659,30028272,6.988364428792015e-18,0.06373626373626373
PTK7,157,10,226659,30028272,4.1008980966586894e-07,0.06369426751592357
CCND3,189,12,226659,30028272,3.026918055144075e-08,0.06349206349206349
HLA-DPA1,142,9,226659,30028272,1.6111897673803031e-06,0.06338028169014084
ITGA10,16,1,226659,30028272,0.11416902836368283,0.0625
EIF2D,16,1,226659,30028272,0.11416902836368283,0.0625
CDC42BPA,16,1,226659,30028272,0.11416902836368283,0.0625
ASTL,16,1,226659,30028272,0.11416902836368283,0.0625
SH3BP4,16,1,226659,30028272,0.11416902836368283,0.0625
OXSR1,16,1,226659,30028272,0.11416902836368283,0.0625
HIGD1A,16,1,226659,30028272,0.11416902836368283,0.0625
SFMBT1,16,1,226659,30028272,0.11416902836368283,0.0625
RASA2,16,1,226659,30028272,0.11416902836368283,0.0625
RNF13,16,1,226659,30028272,0.11416902836368283,0.0625
GCNT2,32,2,226659,30028272,0.024324668435306278,0.0625
TREM1,80,5,226659,30028272,0.00036815053984862666,0.0625
VNN3,16,1,226659,30028272,0.11416902836368283,0.0625
IVL,442,27,226659,30028272,2.659275223723101e-16,0.06108597285067873
ARG1,1054,64,226659,30028272,3.055801605250022e-36,0.06072106261859583
EFHD2,33,2,226659,30028272,0.025766211074032687,0.06060606060606061
CXCL5,716,43,226659,30028272,1.0141507575213213e-24,0.06005586592178771
MREG,50,3,226659,30028272,0.006470394333130682,0.06
NKD2,50,3,226659,30028272,0.006470394333130682,0.06
PGM3,118,7,226659,30028272,3.5428832480381525e-05,0.059322033898305086
PBX1,644,38,226659,30028272,8.972166740120188e-22,0.059006211180124224
CD55,1221,72,226659,30028272,1.0102295535902909e-39,0.05896805896805897
IFI6,51,3,226659,30028272,0.006836589349635426,0.058823529411764705
LAPTM5,34,2,226659,30028272,0.027241575633839842,0.058823529411764705
CSF3R,153,9,226659,30028272,2.9838697690045404e-06,0.058823529411764705
SLC30A7,17,1,226659,30028272,0.1208554493875795,0.058823529411764705
CREB3L4,17,1,226659,30028272,0.1208554493875795,0.058823529411764705
POU2F1,68,4,226659,30028272,0.0017998040358087883,0.058823529411764705
NCK2,68,4,226659,30028272,0.0017998040358087883,0.058823529411764705
ACVR1C,17,1,226659,30028272,0.1208554493875795,0.058823529411764705
CDCA7,34,2,226659,30028272,0.027241575633839842,0.058823529411764705
CHST2,17,1,226659,30028272,0.1208554493875795,0.058823529411764705
CXCL3,238,14,226659,30028272,5.845986556456016e-09,0.058823529411764705
TSPAN5,17,1,226659,30028272,0.1208554493875795,0.058823529411764705
ANKRD55,17,1,226659,30028272,0.1208554493875795,0.058823529411764705
ELL2,51,3,226659,30028272,0.006836589349635426,0.058823529411764705
MZB1,17,1,226659,30028272,0.1208554493875795,0.058823529411764705
RAB24,34,2,226659,30028272,0.027241575633839842,0.058823529411764705
FOXP1,494,29,226659,30028272,6.144449671979122e-17,0.058704453441295545
CXCL1,2483,145,226659,30028272,1.3749969257815065e-77,0.05839710028191704
CR1,3021,175,226659,30028272,1.085193326482199e-92,0.05792783846408474
TTK,259,15,226659,30028272,2.095193943083467e-09,0.05791505791505792
IGJ,52,3,226659,30028272,0.007214855680773755,0.057692307692307696
MED23,52,3,226659,30028272,0.007214855680773755,0.057692307692307696
GNAI3,35,2,226659,30028272,0.028750176574299038,0.05714285714285714
USP21,35,2,226659,30028272,0.028750176574299038,0.05714285714285714
LAX1,35,2,226659,30028272,0.028750176574299038,0.05714285714285714
MXD1,35,2,226659,30028272,0.028750176574299038,0.05714285714285714
CD34,30586,1733,226659,30028272,0.0,0.0566599097626365
MERTK,389,22,226659,30028272,6.694747692681767e-13,0.056555269922879174
RSAD2,89,5,226659,30028272,0.0006010725675713519,0.056179775280898875
VAV3,214,12,226659,30028272,1.1792101370129787e-07,0.056074766355140186
EPHB3,161,9,226659,30028272,4.527282192575614e-06,0.055900621118012424
TNFRSF1B,179,10,226659,30028272,1.3588673647693336e-06,0.055865921787709494
CAMK2N1,18,1,226659,30028272,0.1274914002520786,0.05555555555555555
OTUD7B,18,1,226659,30028272,0.1274914002520786,0.05555555555555555
F11R,54,3,226659,30028272,0.008007956379338396,0.05555555555555555
FOXN2,18,1,226659,30028272,0.1274914002520786,0.05555555555555555
ETAA1,18,1,226659,30028272,0.1274914002520786,0.05555555555555555
UGGT1,18,1,226659,30028272,0.1274914002520786,0.05555555555555555
SHQ1,18,1,226659,30028272,0.1274914002520786,0.05555555555555555
TFDP2,18,1,226659,30028272,0.1274914002520786,0.05555555555555555
IL17B,18,1,226659,30028272,0.1274914002520786,0.05555555555555555
TNFAIP3,576,32,226659,30028272,7.770448986054821e-18,0.05555555555555555
PSMB9,91,5,226659,30028272,0.0006651220368978996,0.054945054945054944
WNT3A,1748,96,226659,30028272,1.0565978665475209e-49,0.05491990846681922
IL36RN,55,3,226659,30028272,0.008422962005831766,0.05454545454545454
DEPDC1,37,2,226659,30028272,0.03186474617591776,0.05405405405405406
DUSP2,74,4,226659,30028272,0.0024537208136191156,0.05405405405405406
HNRNPD,37,2,226659,30028272,0.03186474617591776,0.05405405405405406
ST8SIA4,37,2,226659,30028272,0.03186474617591776,0.05405405405405406
MST1,648,35,226659,30028272,5.6407049099112825e-19,0.05401234567901234
TLR1,1265,68,226659,30028272,3.66324511465852e-35,0.05375494071146245
TRAF5,168,9,226659,30028272,6.395854796939395e-06,0.05357142857142857
ROR1,225,12,226659,30028272,2.0254398976065354e-07,0.05333333333333334
ITGA1,75,4,226659,30028272,0.0025765970646744,0.05333333333333334
C1QA,151,8,226659,30028272,2.2472598057917955e-05,0.052980132450331126
STIM2,189,10,226659,30028272,2.2165212030695175e-06,0.05291005291005291
PRKCZ,57,3,226659,30028272,0.00929027795929334,0.05263157894736842
GPSM2,38,2,226659,30028272,0.033469561975378676,0.05263157894736842
BCAS2,19,1,226659,30028272,0.13407726191223066,0.05263157894736842
HORMAD1,38,2,226659,30028272,0.033469561975378676,0.05263157894736842
WDR26,19,1,226659,30028272,0.13407726191223066,0.05263157894736842
GUK1,19,1,226659,30028272,0.13407726191223066,0.05263157894736842
RAB4A,57,3,226659,30028272,0.00929027795929334,0.05263157894736842
PNPT1,19,1,226659,30028272,0.13407726191223066,0.05263157894736842
VGLL4,38,2,226659,30028272,0.033469561975378676,0.05263157894736842
LZTFL1,19,1,226659,30028272,0.13407726191223066,0.05263157894736842
PARP9,19,1,226659,30028272,0.13407726191223066,0.05263157894736842
UGT2B28,19,1,226659,30028272,0.13407726191223066,0.05263157894736842
PRDM8,19,1,226659,30028272,0.13407726191223066,0.05263157894736842
IL6ST,133,7,226659,30028272,7.578536930098074e-05,0.05263157894736842
KIF20A,76,4,226659,30028272,0.0027036272130453692,0.05263157894736842
FBXW11,19,1,226659,30028272,0.13407726191223066,0.05263157894736842
TRIM26,19,1,226659,30028272,0.13407726191223066,0.05263157894736842
CD164,76,4,226659,30028272,0.0027036272130453692,0.05263157894736842
TET2,1109,58,226659,30028272,1.2394447964965213e-29,0.05229936880072137
IL1R2,153,8,226659,30028272,2.4699455016545128e-05,0.05228758169934641
BHLHE40,77,4,226659,30028272,0.0028348792908565864,0.05194805194805195
BANK1,77,4,226659,30028272,0.0028348792908565864,0.05194805194805195
CKS1B,58,3,226659,30028272,0.009742734227985848,0.05172413793103448
TNIP1,116,6,226659,30028272,0.0002702090245555814,0.05172413793103448
NFKB1,660,34,226659,30028272,7.377765376251032e-18,0.051515151515151514
WNT9A,78,4,226659,30028272,0.0029704217905543607,0.05128205128205128
IL18R1,78,4,226659,30028272,0.0029704217905543607,0.05128205128205128
STAB1,39,2,226659,30028272,0.03510531109759128,0.05128205128205128
IL1R1,218,11,226659,30028272,1.1113385543736158e-06,0.05045871559633028
FOXD2,40,2,226659,30028272,0.03677143553257801,0.05
VCAM1,540,27,226659,30028272,3.377453095719987e-14,0.05
ALDH9A1,20,1,226659,30028272,0.14061341244755268,0.05
PARP14,40,2,226659,30028272,0.03677143553257801,0.05
PLAC8,80,4,226659,30028272,0.0032546469915104128,0.05
SYNCRIP,40,2,226659,30028272,0.03677143553257801,0.05
AIM1,60,3,226659,30028272,0.010685572818406533,0.05
HES1,1609,80,226659,30028272,1.1516090915629409e-38,0.049720323182100686
PSMB8,121,6,226659,30028272,0.0003389959440952397,0.049586776859504134
CXCL14,243,12,226659,30028272,4.6053874895464354e-07,0.04938271604938271
AFF4,41,2,226659,30028272,0.038467380276923945,0.04878048780487805
CDK19,41,2,226659,30028272,0.038467380276923945,0.04878048780487805
DPP10,83,4,226659,30028272,0.0037148319020412473,0.04819277108433735
NT5C1A,21,1,226659,30028272,0.14710022708389434,0.047619047619047616
NHLH1,21,1,226659,30028272,0.14710022708389434,0.047619047619047616
XCL2,21,1,226659,30028272,0.14710022708389434,0.047619047619047616
RGS16,147,7,226659,30028272,0.0001415489033433126,0.047619047619047616
CHML,21,1,226659,30028272,0.14710022708389434,0.047619047619047616
SP110,63,3,226659,30028272,0.012195541694780689,0.047619047619047616
PDCD6IP,21,1,226659,30028272,0.14710022708389434,0.047619047619047616
DCP1A,63,3,226659,30028272,0.012195541694780689,0.047619047619047616
LEPREL1,21,1,226659,30028272,0.14710022708389434,0.047619047619047616
MUC20,42,2,226659,30028272,0.04019260418477873,0.047619047619047616
CHIC2,21,1,226659,30028272,0.14710022708389434,0.047619047619047616
